popular_matchday	Argentina,2026-06-25,1014
popular_matchday	Brazil,2026-06-25,1034
popular_matchday	Canada,2026-06-25,1094
popular_matchday	Germany,2026-06-25,1015
popular_matchday	Iran,2026-06-25,1042
popular_matchday	Japan,2026-06-25,1002
popular_matchday	Mexico,2026-06-25,1048
popular_matchday	USA,2026-06-25,1060
popular_stadium	Argentina,stadium,New York New Jersey Stadium,771
popular_stadium	Brazil,stadium,New York New Jersey Stadium,890
popular_stadium	Canada,stadium,New York New Jersey Stadium,839
popular_stadium	Germany,stadium,New York New Jersey Stadium,774
popular_stadium	Iran,stadium,New York New Jersey Stadium,858
popular_stadium	Japan,stadium,New York New Jersey Stadium,875
popular_stadium	Mexico,stadium,New York New Jersey Stadium,867
popular_stadium	USA,stadium,New York New Jersey Stadium,903
popular_team	Argentina,Argentina,4146
popular_team	Brazil,Brazil,3742
popular_team	Canada,Canada,3736
popular_team	Germany,Germany,3718
popular_team	Iran,Iran,3740
popular_team	Japan,Japan,3682
popular_team	Mexico,Mexico,3735
popular_team	USA,USA,3679
